model,sensitive_attribute,reference_group,comparison_group,positive_rate_reference,positive_rate_comparison,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio
Logistic Regression,race,White,Non-White,0.2098,0.114,0.0957,0.0919,0.5435
Decision Tree,race,White,Non-White,0.1881,0.1098,0.0783,0.0418,0.5837
Random Forest,race,White,Non-White,0.1845,0.1112,0.0733,0.0382,0.6027
XGBoost,race,White,Non-White,0.2138,0.114,0.0998,0.0866,0.5332
